Brand,Model,Year,Horsepower,Engine,FuelType,Price,Color,KilometerCount
Honda,Accord,2022,252,2.0L,Benzin,320000,Sapphire,
Chevrolet,Malibu,2023,190,1.5L,Benzin,280000,Platinum,
Volkswagen,Atlas,2021,276,3.6L,Benzin,350000,Tan,
Toyota,Camry,2020,203,2.5L,Benzin,300000,Mauve,
Ford,Escape,2019,181,1.5L,Benzin,250000,Lavender,
Nissan,Altima,2022,188,2.5L,Benzin,280000,Coffee,
Subaru,Legacy,2021,182,2.5L,Benzin,270000,Graphite,
Mazda,6,2020,187,2.5L,Benzin,26000,Silver,
Hyundai,Sonata,2023,191,2.5L,Benzin,300000,Blue,
Kia,Optima,2019,185,2.4L,Benzin,250000,Red,
Chrysler,300,2022,292,3.6L,Benzin,350000,Green,
Buick,Regal,2021,250,2.0L,Benzin,320000,Yellow,
Acura,TLX,2020,272,2.0L,Benzin,350000,Orange,
Lexus,ES,2023,302,3.5L,Benzin,400000,Purple,
Infiniti,Q50,2019,300,3.0L,Benzin,380000,Black,
Cadillac,CT5,2022,335,3.0L,Benzin,450000,Silver,
Lincoln,MKZ,2021,245,2.0L,Benzin,380000,Gray,
Genesis,G70,2020,252,2.0L,Benzin,400000,White,
Volvo,S60,2023,316,2.0L,Hybrid,500000,Brown,
Mitsubishi,Galant,2019,168,2.4L,Benzin,250000,Gold,
Jaguar,XF,2022,296,2.0L,Benzin,450000,Teal,
Audi,A3,2020,184,2.0L,Benzin,350000,Violet,
BMW,3-series,2023,255,2.0L,Benzin,450000,Crimson,
Mercedes-Benz,C-Class,2019,255,2.0L,Benzin,400000,Maroon,
Porsche,Panamera,2022,325,2.9L,Benzin,700000,Aqua,
Alfa Romeo,Giulia,2021,280,2.0L,Benzin,500000,Indigo,
Maserati,Ghibli,2020,345,3.0L,Benzin,600000,Turquoise,
Ferrari,GTC4Lusso,2023,680,6.3L,Benzin,3000000,Pink,
Lamborghini,Urus,2019,641,4.0L,Benzin,2500000,Charcoal,
Bentley,Continental GT,2022,542,4.0L,Benzin,2200000,Ivory,
Aston Martin,Vantage,2020,503,4.0L,Benzin,1500000,Graphite,
Lotus,Evora,2023,416,3.5L,Benzin,1000000,Steel,
McLaren,570S,2019,562,3.8L,Benzin,2000000,Azure,
Bugatti,Chiron,2022,1479,8.0L,Benzin,30000000,Gold,
Koenigsegg,Regera,2021,1500,5.0L,Benzin,20000000,Red,
Porsche,911 GT3,2020,502,4.0L,Benzin,1800000,Yellow,
Ferrari,488 Pista,2023,711,3.9L,Benzin,3500000,Orange,
Lamborghini,Aventador SVJ,2019,759,6.5L,Benzin,5000000,Purple,
Aston Martin,DBS Superleggera,2022,715,5.2L,Benzin,2800000,Black,
Maserati,MC20,2021,621,3.0L,Benzin,2200000,White,
Lotus,Exige,2020,430,3.5L,Benzin,1000000,Green,
McLaren,720S,2023,710,4.0L,Benzin,2500000,Blue,
Bugatti,Veyron,2019,1001,8.0L,Benzin,15000000,Gray,
Koenigsegg,Jesko,2022,1600,5.0L,Benzin,30000000,Red,
Ferrari,F8 Tributo,2020,710,3.9L,Benzin,3000000,Yellow,
Lamborghini,Huracán EVO,2023,631,5.2L,Benzin,2800000,Orange,
Aston Martin,Rapide AMR,2019,580,5.9L,Benzin,2200000,Green,
Maserati,Levante,2022,424,3.0L,Benzin,1000000,Blue,
Ford,Fiesta,2021,120,1.6L,Benzin,180000,Gray,
Chevrolet,Sonic,2022,138,1.4L,Benzin,180000,Red,
Toyota,Yaris,2023,106,1.5L,Benzin,180000,Blue,
Kia,Rio,2019,120,1.6L,Benzin,180000,White,
Hyundai,Accent,2020,120,1.6L,Benzin,160000,Black,
Nissan,Sentra,2021,149,2.0L,Benzin,220000,Green,
Honda,Civic,2022,158,2.0L,Benzin,230000,Silver,
Volkswagen,Jetta,2019,147,1.4L,Benzin,200000,Blue,
Subaru,Impreza,2020,152,2.0L,Benzin,220000,Gray,
Mazda,3,2021,186,2.5L,Benzin,240000,Red,
Toyota,Corolla,2022,169,2.0L,Benzin,250000,White,
Chevrolet,Malibu,2019,160,1.5L,Benzin,260000,Silver,
Ford,Fusion,2020,175,2.5L,Benzin,240000,Black,
Nissan,Altima,2021,188,2.5L,Benzin,280000,Blue,
Hyundai,Sonata,2022,191,2.5L,Benzin,300000,Gray,
Kia,Optima,2019,185,2.4L,Benzin,250000,Red,
Honda,Accord,2020,192,1.5L,Benzin,280000,White,
Subaru,Legacy,2021,182,2.5L,Benzin,270000,Silver,
Toyota,Camry,2022,203,2.5L,Benzin,300000,Black,
Mazda,6,2019,187,2.5L,Benzin,260000,Blue,
Chevrolet,Cruze,2023,153,1.4L,Benzin,220000,Gray,
Ford,Focus,2022,159,2.0L,Benzin,240000,Red,
Volkswagen,Passat,2019,174,2.0L,Benzin,300000,Silver,
Toyota,Avalon,2020,301,3.5L,Benzin,380000,White,
Nissan,Maxima,2021,300,3.5L,Benzin,350000,Black,
Hyundai,Elantra,2022,147,2.0L,Benzin,220000,Blue,
Kia,Forte,2019,147,2.0L,Benzin,220000,Gray,
Honda,Insight,2020,151,1.5L,Hybrid,250000,Red,
Mazda,3 Hatchback,2021,186,2.5L,Benzin,240000,Blue,
Subaru,Impreza Hatchback,2019,152,2.0L,Benzin,220000,Green,
Toyota,Corolla Hatchback,2022,169,2.0L,Benzin,250000,Silver,
Chevrolet,Sonic Hatchback,2023,138,1.4L,Benzin,180000,Orange,
Ford,Fiesta ST,2019,197,1.6L,Benzin,220000,Red,
Volkswagen,Golf GTI,2020,228,2.0L,Benzin,300000,Black,
Subaru,WRX,2021,271,2.4L,Benzin,320000,White,
Hyundai,Veloster,2022,201,2.0L,Benzin,250000,Yellow,
Kia,Soul,2019,201,1.6L,Benzin,220000,Gray,
Nissan,Kicks,2023,122,1.6L,Benzin,190000,Blue,
Honda,HR-V,2020,141,1.8L,Benzin,250000,Red,
Mazda,CX-3,2021,148,2.0L,Benzin,220000,Silver,
Toyota,C-HR,2022,144,2.0L,Benzin,230000,Green,
Chevrolet,Trailblazer,2019,155,1.3L,Benzin,250000,Blue,
Ford,EcoSport,2020,123,1.0L,Benzin,200000,Red,
Hyundai,Kona,2021,147,2.0L,Benzin,230000,White,
Nissan,Rogue Sport,2022,141,2.0L,Benzin,240000,Black,
Kia,Seltos,2019,146,2.0L,Benzin,220000,Silver,
Honda,CR-V,2020,190,1.5L,Benzin,320000,Gray,
Mazda,CX-5,2021,187,2.5L,Benzin,280000,Blue,
Subaru,Forester,2019,182,2.5L,Benzin,300000,Green,
Toyota,Rav4,2022,203,2.5L,Benzin,350000,Red,
Chevrolet,Equinox,2023,170,1.5L,Benzin,320000,Silver,
Ford,Escape,2020,181,1.5L,Benzin,250000,Black,
Hyundai,Santa Fe,2019,185,2.4L,Benzin,280000,Blue,
Nissan,Murano,2022,260,3.5L,Benzin,350000,Red,
Kia,Sorento,2021,191,2.5L,Benzin,300000,White,
Honda,Pilot,2020,280,3.5L,Benzin,380000,Gray,
Mazda,CX-9,2023,250,2.5L,Benzin,330000,Blue,
Subaru,Ascent,2019,260,2.4L,Benzin,320000,Black,
Toyota,Highlander,2022,295,3.5L,Benzin,400000,Silver,
Chevrolet,Traverse,2021,310,3.6L,Benzin,350000,Red,
